commentText	importantComment
Sir i preparing 4 gate @2019 and i completed signal and system upto laplce I want to start digital electronic for gate so i want 2 know can these lecture are sufficient for gate Plz reply as soon as .Thanku in advanced..	0
Sir! I think DC is also a signal because though it's not changing but it has an information in it. And signal is what have information about any physical quantity. I hope I could explain what I mean. Thank you.	0
Upload lectures on logic families	1
Thank you sir great helpful videos i got 'O'(10) grade in digital in  my semester  exam thank you . make more videos i suggest to make in coding theory and communication Really it will grateful I just love you English and voice . thank you	1
"would u have any lecture of ""operational amplifier""( OP -AMP)"	1
Sir please made videos for logic families	0
Sir can you explain why band pass signal have different nyquist  sampling criteria?	1
Sir kindly please make videos on microprocessor. I am facing problem. Your videos are excellent. I having watch these videos from the 1st year. Kindly please make videos on microprocessor. Please do bring this to your notice.	0
bike race tune in intro ??	0
I have not finished your Analog Electronics course yet (but I will in parallel with this course) but I couldn't resist starting this course now because I am having such a good experience with the other course. Thanks again.	1
please make a video for sequence recognizer circuit	1
Please sir make lectures on analog circuit	1
Sir can u make videoes on  opamp	1
sir is their no availability of microprocessor and interfacing video lectures in NESO  academy..	1
"Sir,it would be so kind of you if you make some videos on analog to digital converter and digital to analog converter."	1
Sir I want videos for communication theory please upload it and reply me quickly	0
Thank you bro for the lectures otherwise the exam would have gone	0
Great job...very helpful...thank you ..very much .team..NESO	1
sir please  give some question and its answer(gate).	1
"sir,all your  teachings helped me to understand the subject in a better way.thank you so much, if you put video on maths which is relateded to engineering  from the very  basic calculus to ,fourier transform  it will be very useful  for us."	0
"God cannot be everywhere, so he created NESO academy."	1
Please provide network videos NAS VIDEOS	1
"great videos sir plz upload video for power amplifier class A,B,C"	1
sir your videos are very super and standard. I request NESO academy to make more videos in core physics for the sake of undergraduate and postgraduate students.	1
sir please to a video on analog to digital converters	1
"Thanks for all your efforts sir,but please upload all gate questions for all topic.your way of teaching is very clear sir."	1
sir please post video related to data structure	0
what is a hazard  form	0
"I think there is a mistake ! While you are explaining a quadratic equation and representing the same in terms of graph, you mentioned that when value of a<0 it  is upward parabola(4:34), which I guess is wrong."	0
Your videos are too good ..thanku sir ..in our collage our teachers move very fast and I am unable to understand many more concepts by ur videos I m able to understand..once again thank u..keep going	0
sir these videos are very helpful. thank you so much.	1
"thank you for the videos plz provide videos for the following topics (Memories and Programmable Logic Devices: Memory organization and operation, write and read operations, Read only memories, PROMs, EPROMs, EEPROMs, RAMs: Static RAM, Dynamic RAM, Design of an 8x4 ROM, PLA, PAL, Generic array logic, CPLD, FPGA )(Multivibrators: Types of multivibrators, AMV, MMV and BMV using transistors, AMV and MMV using OP-AMP, Schmitt Trigger )it would be really very helpfull."	1
will you please upload videos for microprocessor and microcontrollers???	1
"sir, please upload presentations for vlsi design.."	1
OMG... thank you	0
"sir please,upload the vedio to tell thevinins thereon,tellgents thereon,compensation thereom,Norton thereom and etc please sir I expect these answers by one week please sir"	0
"I use these videos to garner greater understanding of the various concepts. Thank You, Sir !"	0
awesome sir	0
please make a video on how to design a basic ALU (arithmatic and logic unit)	1
can i use your videos in my you tube channel.I'm thinking of making hindi version of all this video and upload it in my channel.but i will show video is taken from neso academy.plz sir reply me.	0
Good good	0
"sir,thanks for your videos it helped me very much before exams but i need verilog tutorials also from you sir"	0
Please upload videos on VLSI	1
u said we get  downward parabola because of -a.but u have written  a<0  is upward parabola.can u explain me how it happens?	0
please post op amp related videos as soon as possible	1
speak slowly!	0
sir i have one doubt......HOW EXCESS 3 CODE IS USED FOR BCD subtraction??????	0
I read in my university if a>0 then parabola will be upward	0
Please do provide complete Lecture on VLSI with HDL code writing.	1
sir please upload videos on communication system also based on Gate Syllabus like Digital and Analog Electronics.plz sir	1
amazing explanation...	0
"sir, thank you so much for your videos, they are very useful considering my placements..."	0
"Hiii Guys, Please make a chapter wise playlist of Analog Electronic , Digital electronic, Sensors and transducers and Electrical networks analysis and synthesis. Please make it I am in 2nd year instrumentation engineering and I love to watch your videos. Please make a playlist chapter wise.Thanks & Regards, Pranay Shelar 7208504828"	1
I must be needed applied electronic IV th sem E.C.E	1
Sir pls a Video Set on Electrical Technology	1
"thanks sir, the videos are very helpful for gate exams........"	0
First of I would like to tell smart and flash explanation of classes and nothing doubts in classes ane one more thing is that Iam not getting answer from your site(nesoacademy.org)	0
sir can u make video lectures of control systems subject	1
"sir,please upload lectures on computer organization..it will be really helpful"	1
"Sir, your videos on digital electronics are more than excellent. if you have time, please make videos on computer organization, it will be really helpful"	1
One of the best video series on youtube! Thank you so very much for these!	0
Sir thank you very much for the effective topic coverage videos on analog & digital electronics. Please upload videos on Control System.	1
"one of the finest teachers of digital electronics! sir, I used to hate this subject but after these video lectures now,  I willingly read about this subject despite being a non electronics person ! your lectures created a very fine understanding and induced great interest :) it was great to be your student !"	1
"Sir upload videos upon logic families and ram rom,mc, mp etc it will be very helpful for us"	1
"Thanks a ton Sir, these videos on digital really helped a lot, the lectures are so simple and easy to understand. So I want more videos on PLA, PAL, A/D & D/A Convertors, DAC, PROM, C-MOS and more."	0
your way of teaching is amazing I wish I could have a lecturer  in machine subjects like you .	0
very good lectures u explains everything in a great way sir	1
wonderful lectures...I need asynchronous sequential circuit design	1
Could you please make some videos o Computer Architecture?	0
thanku so much sir i watched all video of your digital electronics  its fabulous and fully explained thanku so much it helped me alot in examination......	0
"Awesome lectures,very helpful in my exam,love you sir,we need more videos sir"	1
Sir could you upload lectures on applied electronics	0
thank you sir for your video lecture on digital electronics. Sir please upload video lecture on digital logic families.	0
Sir..I have studied the lesson..It is very useful to me..can understand well..Thankyou very much....	0
Thanks for making neso academy it helps me a lot.Please keep the good work in other subjects also....	0
Just awesome!!!	1
"sir, please upload video lecture on micro-controller subject"	0
excellent  explanation thank you very much sir	0
I am taking digital electronics course from neso academy channel...i just want to know do you reply neso academy if i have a problem with a video or a part of it and comment here??????	1
sir please upload the all the topic of electrical engineering	1
please upload microprocessor videos as soon as possible	0
can you please tell me what do we call this tool that you've used.? it'll be a great help. thanks.	1
Sir Please Upload Diode And Transistor Compensations	0
"sir,i am from vit vellore.i want to thank you from the bottom of my heart because ur video just saved me and helped me to get A grade in dld"	0
sir your lectures are good. But can you explain CMOS inverter.CMOS NAND. CMOS NOR. concept.	0
"thank you neso. i now understood digital electronics, i am using it to prepare for my exams"	0
"I am in one of the most reputed colleges in India, and  60% students of my class bunk classes (included me) due to your this channel, hats off man..."	1
"Hi, your videos are very informative please do lecture on AD , DA converters."	1
sir also upload control systam	1
sir we need theory classes of  operational amplifiers and linear ICs.... and also on ELECTROMAGNETIC FIELD THEORY plz sir plzz	1
Sir..Is there MI lectures available.like this. (microprocessor & Interfacing)..interested in getting all lectures.. paid version or of that type..	1
please upload videos on data structure	0
Hey sir I am Ali. I am student of centennial college in scarboroug Toronto Canada. May I have your phone number  or email id. I want to talk to you about some lecture and private help if you are available. I like your method for explanation. please reply me back at shanawarali786@hotmail.com or 0114168988801. please thank you have good night	1
Sir it is humble request that upload videos about Networking basics or CCNA Theory and practical work	0
very good sir /i like your lecture with the core of my heart......	1
please upload the video on logic families pls	1
Will you be doing a course on Computer Architecture and Organization ?? please?!	1
"If possible upload  videos on ELECTROMAGNETIC THEORY , Divide that whole syllabus into some small portions....Thanks for these lectures"	1
do you have a video of logic families ?	1
bro do you have any courses about integrated circut	0
"Neso academy,thank so much for   your amazing efforts that you put in these lecture.i watched all your videos and now i manage to get a good mark in my exam.God bless you sir :)"	0
"6:30 what he said after ""is a direct...""? I don't got it"	0
very good	1
"Sir, when r u going to release the electrical subjectes. We are waiting"	0
Sir can't describe the happiness!This New year is going to be digital for me.Happy New Year Sir.	0
I think there are lot of helpful lectures......i really thankful to NESO academy which help me in my exam to clear concept in digi electronics....and this academy provide best lectures...so everyone go for it...i give it 5/5	0
aapke videos se padh k exam diya aur pass bhi na ho payaÖ	0
Sir your lectures are very much useful	1
Sir plz upload electrical machines and power system lectures	0
just a white guy checkin shit out. WHATS UP INDIA	1
plz provide a video on programmable logic devices plz...	1
Please upload lectures on ADC and DAC also.	0
plz include hindi also in your videos for better understanding...	0
"Sir..,I am extremly Thankyou for you and video devolopment team for bringing these videos in frond of us.., because of this , i have scored nice marks in the xams.. GOD may bless you....Thankyou......"	1
"Neso Academy, sir i request you to please upload videos on more engineering subjects like- Electrical Technology, Engineering Mechanics, Engineering Physic, if possible. It would be great help for us, that you can't even imagineüòÇ. Please, it's an earnest request from a subscriber."	0
thank for this video developments.	0
great videos and nicely cover each topic .....thank you sir..your digital videos help me a lot in my third  semester(III)  .	0
check out this video	0
thanks a lot sir	0
Thank u sir ur lectures are really helpful and informative	0
thank you very.your lectures on this topic helped me a lot.	1
digital logic families rtl add all pplzz siir	0
dear Neso tq  very much	1
dear Neso thxs very much.but i need a tutorial about analog and digital quantities.	0
very helpful thank u	1
"sir plz provide videos on computer architecture like logic micro operations, shift micro operations, buses, etc. its a request."	0
borhiya ....moja	1
sir could u plzz creat a text file of the play list.. i have downloaded all videos but the yr not in order. and on the slides the lecture no. not mentioned. thats the only drawback. rest hats off to u...... there is no lecture on digital circuit on internet that can match the clarity n explain as u do. thank u so much	1
sir your lecture are very good for preparation for government jobs. sir please upload lecture on semiconductor memories	0
Sir this is our good luck that we got your awesome videos on dce!I loved your teaching techniques. me and all my frends of nitk karntaka watch this videos and found ourself quite strong in dce.....thanking you so much........	0
what is the text book that you used? I took your course of analog electronic that you have in your chanel and I knew what book it was.	0
Thank you very much for these awesome videos.	0
Super	0
Today I started the course of Digital  Electronics & I hope that  I will complete this full course in 40 days.ThankYou.	1
Thnk u sir for posting such a good.lecture series. Plz.make vedio lectures on logic families also.	0
"sir, thank you so much for your Videos on Digital Electronics. Just because of these 209 videos, me and my entire class was able to secure good marks in our exam. On behalf of my entire class, MAE, 4th sem, GB Pant Engineering College, I thank you for your help!"	0
good	0
sir thanks for digital electronics lecuter . can you upload some lecuters of electronics circut plz	1
please upload communication system leactures... I dont have any idea what my teacher is teaching me... !	1
"Your videos are awesome and to the point. No other things out of the box, easy to understand. Your videos are far better than nptel . Because of short videos i am able to look at it. But because of videos of 1 hour long it's not possible to look at it, so it's great that you create video with such short time and completing the topic also. I have a request that please provide lecture on EM Theory, not because of Syllabus but it has great importance in life also . A great topic for ECE Students . Please provide lecture on it. thanks"	1
"sir  plz upload lectures on microprocessor and microcontroller,.,."	1
great effort .Now i can sleep in class and will watch your videos two days before my exams.	0
"if u dont mind sir can i have ur lectures on  Basic design for AND, OR, NOT, NAND, NOR using RTL, DTL, TTL, MOS Technology, Tristate logic."	1
i was taking your quiz aside by side but after 12th quiz no quiz wasnt open. please tell me the solution how can i open your quiz after 12th....reply me ASAP.....	0
Thank you so much	0
"If you could add lecture numbers to each of the video's name, it'd be really appreciated"	0
hi. I am watching this first time shall i know which software you use to make this presentation?	0
You should improve subtitles - it would be very helpful for better understanding what you say.	0
sir could you plz upload lectures on microprocessor and microcontroller	1
which software do you use ?	0
awesome......lecture...	0
Neso academy please upload the lectures based on microprocessor and microcontrollers...i always love to study  from your videos...	1
Let me tell You that You are Doing A Great Help for the students Community . Thanks A Lot !	0
"Sir, I had seen all your videos and it helped me to score A grade in my college exam. So thankyou very much. You have been doing a great work and please keep going. I hence request you to upload videos on computer organization and architecture as it has 20 % course of digital system only. Hoping for your positive reply and yes THANK YOU VERY MUCH for these awesome videos"	1
Thanks for making this kind of lectures availible online! You are great at explaining and I really enjoy watching your lecturevideos. Best regards from a snowy Sweden! /Stefan	0
I have download your all video but i was amazed that your video is not in sequence there are too many videos so i wont find sequence in my downloaded video so please give me idea	0
helped me alot neso	0
i don't know what is code coversion	0
helo sir am new and i want to know what is code conversion plz help me. i	1
"Sir i love your videos ,, plz upload some videos related to Asynchronous Sequential circuit"	1
thanks from turkey your videos're so helpful	0
I M LOVING THESE LECTURES  thanq so much neso academy	0
Who's    watching     this     in     DECEMBER?	0
Thanks	0
Hi your videos is so good. I have  questions 1.Design a circuit for computing LCM of 2 bit integer? 2.Design a combinational  circuit to find HCF of 2 bit integer? please upload videos for these question.	1
thanks for ur videos....	0
please keep videos for signals and systems	1
sir pease tell me which software you use for drawing beacause I want to teach my elder brother online on skype	0
"greetings sir! i have gone to your lectures its helpful more than enough...but i have got a problem in ff that is , design 3 bit even number generator circuit using T ff. i m waiting for ur answer... thanks allot."	0
"sir .........all lectures are awsome......speed is just fine ..........all things n concepts are cleared....i m just ""loving it"" to learn"	0
Thank you NESO ACADEMY!!! The lectures were great and were very easy to understand tough topics.	0
sorry can any one tell me where i can find an explanation to transmission  gates(making NAND from inverter(s) and keys for example)???	1
sir please upload asynchronous design video	1
"hi Sir, i had downloaded all your videos...but i was scared because they are not in order. what to do????... how can i watch your videos one by one from starting lesson to the end lesson. kindly make them as l-1, l-2, l-3....l-(n-1)....make it fast at your earliest convenience......i am eagerly waiting....after that send me a link...."	0
is this course logic design ? i just wanna know :)	0
"could u please...give lecture names like l-1, l-2, .....l-(n-1)....you did only 39 lessons do the same for remaining videos also...so i can download all in a single shot.. then after send me the link..."	0
"Neso Academy, your videos have helped me and my friends a lot. It prepared us well for our semester exams. Thank you"	0
+Neso Academy Today I had my Digital Electronics End Semester Exam and all thanks to you it went with a bang! I scored a mere 4.5/25 in my mid semesters and my Digital Electronics professor had told me that I would have to score a lot in my End Semesters 	0
best channel to learn..thank you sir.	0
sir please  upload the videos of RAM and ROM.... i am very much found of your lectures ...	1
sir firstly a lot of thanx for uploading videos for digital electronics .there is some problems during proving memory state in NAND SR latch so please help me ......	0
sir plz upload the videos of RAM and ROM	1
very good lectures...thank you sir..	0
It's a nice series of digital elecronics from basics to all....	0
one more thing i request u to post -design of a binary counter	1
please upload the videos of logic family....i like your lectures a lot..just i need to say- you are genius	1
"thank you so much, very helpful series. and the others too, good good."	0
Sir please upload some videos for transistor because I desperately need them . I am very impressed with your videos .	1
"sir help me in finding micro lectures of control systems engineering ece , & plse post  the related link above sir."	1
Sir please upload videos of RAM and ROM	1
sir please upload the videos of logic family . i'm very much fond of ur videos so please upload the logic families videos	1
sir please tell me binary addtion of 15 and 4 is not equal to 19 why?	0
"plz upload the tutorial for siso,universal†and bidirectional shift registers."	1
where is the lecture for PISO AND universal shift register	1
where is the lecture 4 PISO register	1
plz upload some videos on op-amp also	1
if DC is not signal i.e it is not changing value with respect to time then what about the AC?	0
How To Convert Word File Into Ascii	0
"You say ""Excel file"" but  this saves only the current worksheet!!! If there were more worksheets they will be not saved!"	0
Thank you very much! Now I can fulfil the task given!	0
"Sir, my query is ... i am having ""telugu data"" in excel sheet, I want to convert into CSV file, when i tried it is not showing telugu data, it is showing ????????  pl help me out sir"	1
"Sir, can you plz tell that how we can write some paragraph and merge it to excel data and save file in xml format by using vba?"	1
how to convert excel file to numbers delimited format	1
"It really helped me, thanks"	0
where is macro?????	1
thank for help	0
Try copy & paste!	0
Is it possible to create separate notepad files from the different cells in a single worksheet?	1
"oh thank you , i just used convert xls program yesterday , it's awesome"	0
I found a program to do it a while back. It does a certain amount at a time unless you pay for it. Completely forgot the name now. But I never found a macro to do it.	0
did you got the answer !	0
"I hope they will soon put topics like MVP Pattern, Reactive Programming (RxJava), Dependency Injection etc. If you don't know those topics well, it's impossible to find a job..."	1
Nice intro! Hoping to learn a lot with this course.	0
The fee for this course is quite high for students like me.......	0
MR. BEAN!	0
Sir I took a project to create a website for school i done it by using html and CSS now how to publish it	0
Was this course taken down? https://www.udacity.com/course/ud747 Error 404	0
it so cringe	0
you gay bitch	0
I just hope that their code is better than their dialogue. 	0
They are pretty good at explaining	0
Succesfully updated  my first photo editor..changed the UI and added a lot of new features. Please check out once.Reviews are highly appreciated.Thank you..Here is the link: https://play.google.com/store/apps/details?id=com.ultravisionstudio.him.picfuse&hl=en	0
"I got no experience in android development and programing so i decided to start by this very basic course? https://classroom.udacity.com/courses/ud837/lessons/4038208680/concepts/42913549310923# At the begining of the course it sounds like magic i could understand everything because the teacher follower trough step by step leaving no explanation behind, so she started asking to do the next task before explain as a chalenge, it was ok because i could aways step forward if locked see and study the answer, but now she is trying to make me do things that she didnt explain expecting that i already know and when i step forward theres is other new task and not the explanation anymore. i spent 2 days stuck on this one task searching everywhere on internet like a retarded just to learn how to associate 2 buttons on java and no one code i tried worked. this course is shit. if i have to look by myself for answers on internet i dont need a course i can self thought me watching youtube videos. would be the same."	0
dont have a computer which can run android studio	0
Successfully created my first android game. Please check it out: https://twitter.com/mastermindsuzan/status/823247471547588609. I have posted source code as well.	0
#Brazil  I love Udacity	0
Excellent	0
I love the smite of the girl even though shes not too good looking!	0
God that fake accent	0
It's a great chance for people to make their first move into the developer world but I have to say that the last second of this video is super cringeworthy. xD	0
Thanks you very much.	0
I am a man of peace but boy do I want to punch these two tools	0
I love it!!! I love Udacity!!!	0
Thanks Google!!Love the course.. :D	0
I am almost about to buy this course. I am concerned about the moola for the advanced course.	0
"The is the best instruction I've received regarding Arduino coding. Thank you, very much Paul. :-)"	0
I was impressed by your teaching	0
some videos exceed more than one hour so please try to make shorter videos.	0
Best video of all to help us to learn. Thank you. John	0
"Finally a great instructor that described the curly brackets!!!  Great work!,"	0
THX	0
"Very good video, thank you for sharing your time and knowledge."	0
hay in the 8th grade how did he know are you fallowing me a 	0
Thanks a ton sir!! Loads of Love from India !	0
"these videos are dubbed in English, aren't they?"	0
Thanks	0
Thanks sir  Amazing videos.	0
Get my Adruino tomorrow and this tutorial makes me want to start today. Thanks!!	0
well this series looks awesome	0
"Really kind of you to upload this video, really simple and to the point."	0
the best place to start from is 4:30	0
Great lesson! I will respectively follow your lesson & your videos Thank u for your sharing! Thank you from the bottom of my heart	0
Thank you for the good explanations!	0
I extremely understood how aurduino works now . start my new project on it inshallh . Thank vry much for the guide .	0
"You in fact make learning Arduino easy, interesting and fun. I desire to learn programming but deem task a rocket science until today. I hope to at least know the basics by your tutorial. Many thanks"	0
"Make all playlist of GATE for cse btanch atleast programming and data structure, Alogrithm, operating system "	1
Sir make videos for preparation of GATE in TOC subject and solve question from gate paper(question bank)	1
Best Tutorials for Formal language and Automata theory. These videos come in handy before the final exam. Thanks to the channel.	0
Sir make videos on computer organisation for cse branch	1
Thanks so much.. Sir	0
Concept clear sir	0
Any one from calicut University 	0
Anyone from Mes Kuttipuram	0
Anyone from KTU?	0
Extremely Helpful!!!Very Well Explained....Thank You Guys For making TOC easy for me....	0
I spent forever trying to find some good videos about automata and now I've found them!	0
"Your tutorials are perfect! But why didnt you include Kleene's Theorem. Like FA1+FA2, FA1*FA2, FA1‚à©FA2."	1
Does it cover entire GATE syllabus of TOC ??	0
Formal language and automata theory & Theory of computation &automata theory are same are it has any difference??	0
I want DFA for number of a's greater than number of b's	0
thanks a lot	0
marry me	0
will these 114 videos help me in my boards ?? ans- hell ya ..... !!!!	0
sir this is my  request plz make a video on java also	1
"This video is really a stress-reliever. I always believed that I'm that stupid in this kind of thing, but finally I can grasp the basic concept. Thanks!"	0
i got chinese clone ;(	0
"Thank you, that was fun.  I have been sitting on my Arduino kit for months now and I'm finally having fun with it."	0
can i know how many language i have to learn to understand this kind of programming ??	0
I was thinking about finding a night class to learn basic Arduino programing.  I don't need that thanks to your videos!  Most everything I need to do was covered in this lesson!  Thank you so much!	0
"Many thanks Paul, your series has really has helped me (re)understand code, clear, informative and fun. The dislikers are probably 4th grade philosophers! :)"	0
I have tried to find a good Ardunio course that works and now l have many thanks Paul Mc Whorter	0
"Damn, I had to stop right at the beginning. You didn't show exactly where to plug the board into the computer. Obviously I'm Old school. But I can't continue until I see how to plug the cable into the board, then into the computer. Where in the computer? behind the router? Behind the tower? I stuck in first gear !!! Can any one help me ?"	0
"I'm terribly weak on the C language which this appears to be: but when you declared ""LEDPin"" as it is outside the setup function which is run once when the compiled program is run; haven't you declared a constant, and not a variable as you keep referring to ""LEDPin""? Constants are set at compile time and are immutable symbols. I'm assuming that if you made the statement ""LEDPin=13;"" inside either the setup or loop function, the IDE would give you an error?Just a possible niggle on a fantastic looking program you have created!"	0
why u no know bluetooth	1
where is that 5 v signal coming from??? I mean is there any need of source	0
everything's perfect except you aren't a boy	0
thanks for awesome courses. i bought arduino uno  LY- F2 and couldn't connect with computer.	0
Fantastic instruction. Every other Arduino teaching vid has been rushed and difficult to follow.	0
Love ya sir!	0
"Doesn't count as first program. For first program you'd have to make it blink ""Hello, World!"" in Morse Code."	0
Very nice sir we need more videos regarding our projects	0
Seems It is best place to learn ... As I am new user .. Nice Sir.!	0
Really a good start for me sir............Thank you for this lecture	0
IMPORTANT: for everyone who wants to learn about Arduino and you don't have a microcontroller yet:use this site: Tinkercad.com thanks me later :D	0
which book is best for university and gate exam  please tell me	0
Please explain the output of input 'aaaaabbbbbb' for lacture 29	0
Sir all vedio very good in explanation And I request you please upload the artificial intelligence vedios for computer science students	1
sai shimonson's lectures are abridged to simple videos. I was looking for this. Great work.	0
Coz of u  I pass my  TOC exam thnk u so much plzz make video in compiler designer	0
Galgotia waalo like kardena..Ç	0
"I learned the best from this chennel ....carry on,sir......"	0
does compiler first converts in binary and then check for errors? or first check for errors and then convert into binary??	0
Great work! Very clear and concise explanations with easy to understand examples.	0
Thanks to this playlist I was able to clear my Automata Theory paper..	0
please create videos on COMPUTER GRAPHICS subject	1
Thanku sir	0
is this series complete?	0
"Your channel had a huge part in helping me with Digital Electronics last year, So glad to find, that you've also covered TOC even before I had a chance to attend my first Lecture in college!"	0
Your explanations are very easy to understand! I cleared my exam thanks to you guys :)	0
i just love and respect for this academy	0
"Thank you so much for your videos on ""Theory of computation"""	0
Thanks for everything ......	0
it is not whole complete automata..some very important topic are missing for machine part	1
Thanks a lot for your best tutorials. Fan from Afghanistan.	0
"Sir the lectures are totally awesome,but can you upload the lectures on Compiler?"	1
"please make video on wang machine, post machine and recursive function theory. only 5 day to go for exams and don't know anything about these."	1
thanks sir....this gives me lots of help....	0
please add sytem programming lectures..	1
"Sir, is your course enough for university exams ???"	0
Thnx a lot Neso for getting my paper cleared your videos were quite helpful. Keep growing bro.	0
"Sir,You made  a boring subject to interesting one...... Good work...."	0
"Thank you sir. Your lectures are very useful. Sir, it will be really helpful if you can do a lecture on ""Compter Graphics""."	1
"Sir,what are the types of mathematical models in TOC?"	0
Thank u so mch sr....	0
Anyone from AmityÇ	0
Sir Please make a series on microprocessors and embedded systems.	1
"sir please upload the video of merger table , merger graph,testing table and testing graph"	1
Very understandable thank you sir...	0
"Hey sir. Please can you make a video on ""Prove that for every NFA there exists a equivalent DFA""."	1
Thanks from IIIT_Kalyani :)	0
"Please complete GATE Syllabus sir And Make Videos on Discrete Maths, DBMS, Operating system, Computer organization"	1
"I would like to say thank you very much. It's very helpful, Thank you very much again and again!!!"	0
Is this channel covers the whole Automata theory according to the mumbai university?	0
